Evidence ID,Evidence category,Original filenames,Standardized filenames,SHA-256 hash,Hash status,Verification status,Original preserved,Collection date,Source,Related market event,Confidentiality,Related evidence IDs,Notes
EV-023,Communication,UMA autopilot ad - 2.png,EV-033_communication_uma_autopilot_whale_power_statement.png,997f1b5ea288f6f06dc10a489d0e9c50a73784d7bdb6bb7c398a65df3ea2866b,Exact SHA-256,Partially Verified,True,2026-06-18,"UMA, UMA.rocks","Dispute, Resolution",Public,EV-012; EV-013; EV-014,
EV-024,Communication,UMA dispute arguements.png,EV-034_communication_polymarket_ai_summary_no_yes_arguments.png,39886db7e1963a5b73e2bde5019c9e8ad99cca2b475e09b5769ba9e0526a8daf,Exact SHA-256,Partially Verified,True,2026-06-19,UMA,"Resolution, Dispute",Public,EV-001; EV-002; EV-012,
UMA-001,"Resolution, Wallets",UMA_Iran_VoteRecord_FULL.xlsx,UMA-001_UMA_Iran_VoteRecord_FULL_original.xlsx,5b002cae59563feecd7bf2ef95092a822b39384d0c0afe6afb730a3528610c1b,Exact SHA-256,Partially Verified,True,2026-06-19,UMA,"Payout, Dispute, Resolution",Attorney review,UMA-002; UMA-003; UMA-004; UMA-005; MARKET-004,
UMA-002,"Wallets, Blockchain",uma_yesorno_raw_logs_cache.json,UMA-002_raw_UMA_VoteRevealed_YES_OR_NO_QUERY_cache.json,9C554F7309CC1275668DFA7B5272EDDFF970EE6F7ED09D555B836099A876D21E ,Exact SHA-256,Verified,True,2026-06-20,Ethereum mainnet RPC / UMA VotingV2 contract,"Dispute, Resolution",Attorney review,UMA-001; UMA-003; UMA-004; UMA-005,
UMA-003,Blockchain,round10310_ancillary_hash_discovery.csv,UMA-003_round10310_ancillary_hash_discovery.csv,204DC8AD1F7C66093F2F4BE84E283BBADD6014BB2DB33C2FFAD13E6BD1B1EEB5 ,Exact SHA-256,Verified,True,2026-06-20,Derived from UMA-002 raw Ethereum logs,"Dispute, Resolution",Attorney review,UMA-002; UMA-004; UMA-005; MARKET-004,
TRADE-001,"Blockchain, Trades",03_all_related_market_yes_buyers.csv,TRADE-001_all_related_market_yes_buyers.csv,f26e280f47ccc3de43c9612c2db70e7b08a8f59533a82c4220429a8de3d609a1,Exact SHA-256,Derived analysis,True,2026-06-20,Polymarket trade/activity data export and local normalization,Purchase,Attorney review,TRADE-002; TRADE-003; CHAIN-001; LINK-006,
TRADE-002,"Blockchain, Trades",04_cross_market_wallet_summary.csv,TRADE-002_cross_market_yes_buyer_wallet_summary.csv,8b472b85b042717c639e071b34879d6a2dd52ae104ea5e4d5cde3bfc65e7772e,Exact SHA-256,Derived analysis,True,2026-06-20,Derived from TRADE-001,Purchase,Attorney review,TRADE-001; TRADE-003; LINK-006,
TRADE-003,"Blockchain, Trades",05_cross_market_yes_buyers_vs_uma.csv,TRADE-003_cross_market_yes_buyers_vs_uma_direct_match_screen.csv,c18d678e909f6b8525cf76df98d9ce3d9edc2bd8086a67a0b5dc98d389c27ee9,Exact SHA-256,Derived analysis,True,2026-06-20,Derived from TRADE-002 and UMA-005,Purchase,Attorney review,TRADE-002; UMA-005; LINK-001,
ACTIVITY-001,"Blockchain, Trades",04_user_activity_normalized.csv,ACTIVITY-001_user_activity_normalized_target_market.csv,795c1ab449f9f607dbe1e4fb34a32be879294e983b631d770a1696a5c185fdae,Exact SHA-256,Derived analysis,True,2026-06-20,Polymarket user activity API / local normalization,Blockchain Activity,Attorney review,TRADE-001; ACTIVITY-002; ACTIVITY-003; RED-001,
ACTIVITY-002,"Blockchain, Trades",05_target_market_activity.csv,ACTIVITY-002_target_market_activity.csv,795c1ab449f9f607dbe1e4fb34a32be879294e983b631d770a1696a5c185fdae,Exact SHA-256,Derived analysis,True,2026-06-20,Derived from Polymarket user activity API,Blockchain Activity,Attorney review,ACTIVITY-001; TRADE-001; RED-001,
ACTIVITY-003,"Blockchain, Trades",05_future_related_market_activity_v2.csv,ACTIVITY-003_future_related_market_activity_v2.csv,26560e5e987eb39d8a0f44cfb1f193b40ad1a37ae7e457e98564cb1929ac3622,Exact SHA-256,Derived analysis,True,2026-06-20,Derived from Polymarket user activity API wallet-market queries,Blockchain Activity,Attorney review,ACTIVITY-001; ACTIVITY-002; RED-001; RED-002,
CHAIN-001,"Blockchain, Trades",04_receipt_erc1155_transfers_normalized.csv,CHAIN-001_receipt_erc1155_transfers_normalized.csv,f513b022664b7e743b62a41b5579aacb0472a35c2ee76c00df6156ffcd684f32,Exact SHA-256,Derived analysis,True,2026-06-20,Polygon transaction receipts / CTF ERC1155 logs,"Payout, Blockchain Activity, Resolution",Attorney review,TRADE-001; MARKET-005; RED-001,
RED-001,"Blockchain, Trades",07_step10_redemption_summary.txt,RED-001_step10_redemption_summary.txt,da1a4886844a2f4c728d660f3caa4385499e9d13fbcafe3040b3bb2ff52c1e0d,Exact SHA-256,Derived analysis,True,2026-06-20,Derived from Polymarket REDEEM activity and Polygon transaction receipts,"Blockchain Activity, Purchase, Resolution",Attorney review,ACTIVITY-003; RED-002; RED-003; TRACE-001,
RED-002,"Blockchain, Trades",06_wallet_redeem_summary.csv,RED-002_wallet_redeem_summary.csv,d444000e8f14ef6e72fb7ce71a1d0037c468e5c24bfc5feac58e0e8decef9bf2,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from Polymarket REDEEM activity and Polygon receipts,"Blockchain Activity, Purchase, Resolution",Attorney review,RED-001; RED-003; TRACE-001,
RED-003,"Blockchain, Trades",06_wallet_redeem_summary_classified.csv,RED-003_wallet_redeem_summary_classified.csv,[paste SHA-256],Non-standard hash entry,Derived analysis,True,2026-06-21,Derived from RED-002 and cross-market YES buyer summary,"Blockchain Activity, Purchase, Resolution",Attorney review,RED-002; TRADE-002; TRACE-001,
TRACE-001,"Blockchain, Trades",00_step9b_run_summary.txt,TRACE-001_step9b_safe_transfer_trace_summary.txt,0caac49fc2d2b018adeecc698f77fe9e3d31c7d8dd270c6dcabe6dedf58c3921,Exact SHA-256,Derived analysis,True,2026-06-21,Polygon / Alchemy indexed asset transfer endpoint and redemption receipts,"Blockchain Activity, Purchase, Resolution",Attorney review,RED-003; TRACE-002; LINK-004,
TRACE-002,"Blockchain, Trades",05_step9b_incoming_nonzero_edges_for_review.csv,TRACE-002_step9b_incoming_nonzero_edges_for_review.csv,32b5086315eb88c1ae3e6725d827dcde9e11a159454b5df4d862f36cdc7d71de,Exact SHA-256,Derived analysis,True,2026-06-21,Polygon / Alchemy indexed asset transfer endpoint,"Blockchain Activity, Purchase, Resolution",Attorney review,TRACE-001; TRACE-003; RED-003,
TRACE-003,"Blockchain, Trades",step11D_token_path_outputs.zip,TRACE-003_step11D_token_path_outputs.zip,80b47fc105fb10a2f13b3fef94d3188a97857a28f77745b3c65b69648aec93dd,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from Step 9B token transfer outputs and Step 10 redemption classifications,"Resolution, Payout, Dispute",Attorney review,TRACE-001; TRACE-002; RED-003; LINK-001,
LINK-001,"Blockchain, Trades",00_step11B_run_summary.txt,LINK-001_step11B_direct_transfer_screen_summary.txt,cda5afd89f09afc468ed2e8b57f359de4edd90d715df54c065352e3c9b2d28b7,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from UMA address universe and Polymarket / Step 9B wallet universe using Alchemy asset transfers,"Resolution, Payout, Dispute",Attorney review,UMA-005; RED-003; TRACE-001; LINK-002,
LINK-002,"Blockchain, Trades",00_step11C_run_summary.txt,LINK-002_step11C_shared_funder_screen_summary.txt,c16d464c4e1a3007ef8996de90e1203a790d6fcf71a2af7de64b36b508109ade,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from UMA address universe and priority Polymarket wallet incoming transfer data,"Resolution, Payout, Dispute",Attorney review,UMA-005; LINK-001; LINK-003,
LINK-003,"Blockchain, Trades",00_step11E_run_summary.txt,LINK-003_step11E_yes_buyer_funding_summary.txt,919b6869b4a78cfe011c8595c0a463b5b99b0df17f29f7cb874284ee612f5bf2,Exact SHA-256,Derived analysis,True,2026-06-21,"Derived from YES buyer files, UMA vote validation, and Alchemy asset transfers","Resolution, Payout, Dispute",Attorney review,TRADE-001; TRADE-002; UMA-005; LINK-001; LINK-002,
LINK-004,"Blockchain, Trades",03_direct_uma_to_yes_buyer_funding_edges.csv,LINK-004_step11E_direct_uma_to_yes_buyer_funding_edges.csv,5de8f8b0bc2c7ce77d892a186bd8955315bb5e36262aa966c6e42e09ea5072ec,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from Step 11E Alchemy asset-transfer analysis,"Resolution, Payout, Dispute",Attorney review,LINK-003; TRADE-001; UMA-005,
LINK-005,"Blockchain, Trades",04_common_funder_matches.csv,LINK-005_step11E_common_funder_matches.csv,bf29b065388739b8bb0e567da594f4bd9416e76c09c264ba5ca98e364739de08,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from Step 11E Alchemy asset-transfer analysis,"Resolution, Payout, Dispute",Attorney review,LINK-003; LINK-006; TRADE-001; UMA-005,
LINK-006,"Blockchain, Trades",06_priority_yes_buyer_funding_leads.csv,LINK-006_step11E_priority_yes_buyer_funding_leads.csv,85919b01aaa2246dc6508b37b4bd55830de29b40647c6b2488a0eda7eb3c8087,Exact SHA-256,Derived analysis,True,2026-06-21,Derived from Step 11E direct and common-funder analysis,"Resolution, Payout, Dispute",Attorney review,LINK-003; LINK-004; LINK-005,
IR-RAW-001,Trades,01_cluster_trades.csv,IR-RAW-001_cluster_trades.csv,e3522be962296212ec5012152be875a5a843ce26c86bbcf8eafadc34c1eaece8,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-004; IR-RAW-006; IR-RAW-008; IR-RAW-011,
IR-RAW-002,Blockchain,02_uma_proposer_reward_txs.csv,IR-RAW-002_uma_proposer_reward_txs.csv,bd3f50cd3a3ce954066f5919d588a679899f6e68f55c2b7f2ae86585028a8a36,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-003; IR-RAW-004; IR-RAW-007,
IR-RAW-003,Blockchain,03_decoded_proposePrice_calls.csv,IR-RAW-003_decoded_proposePrice_calls.csv,5d6342bd554157e3bbb1f7f95a29c785e3d1a09f1b8518587a551fbd5f09acfa,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-002; IR-RAW-004; IR-RAW-007,
IR-RAW-004,Resolution,04_market_resolution_proof.json,IR-RAW-004_market_resolution_proof.json,cacf9024ced4d383d2c0701313237a5fc86bb50fbb4090550ebbacdb81a9cad6,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-001; IR-RAW-002; IR-RAW-003; IR-RAW-011,
IR-RAW-005,Blockchain,05_shared_funder_edges.csv,IR-RAW-005_shared_funder_edges.csv,bf993cca6410e2493f702a20fee4d7793cfd3757e30df3b682372dd44320eb56,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-006; IR-RAW-007; IR-RAW-008,
IR-RAW-006,Blockchain,06_wallet_creation_timestamps.csv,IR-RAW-006_wallet_creation_timestamps.csv,cdc456c3d28c7ae881921845f6644a2a18e054abd51d187355b4413fa770083c,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-005; IR-RAW-008,
IR-RAW-007,Blockchain,07_contract_exclusion_list.csv,IR-RAW-007_contract_exclusion_list.csv,1f6d12df2887323d06368ddf0358cbf18ae4106c97847afbd3d45d2401fc9c18,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-002; IR-RAW-003; IR-RAW-005,
IR-RAW-008,Blockchain,08_address_types.csv,IR-RAW-008_address_types.csv,5d3dce5689352db579ececb4dca1d4df55219e44c686e6c5b562c1ba28a64aa3,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-001; IR-RAW-005; IR-RAW-006,
IR-RAW-009,Trades,09_cross_market_cluster_activity.csv,IR-RAW-009_cross_market_cluster_activity.csv,0fc777790a285e0372b1adb83266908cf368cbf2f7a338ded09f7a24f2e97260,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-001; IR-RAW-010; IR-RAW-011,
IR-RAW-010,Blockchain,10_new_uma_traders_markets2_3.csv,IR-RAW-010_new_uma_traders_markets2_3.csv,08a22f4095bd57c945a834c195734b6fb60e9a46594f867a982c45cc2cff53d2,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-005; IR-RAW-009,
IR-RAW-011,Resolution,11_resolution_comparison.json,IR-RAW-011_resolution_comparison.json,ab6b7a63c802f819a8a8b059f4dc1b9960192c15c3782b035d3d9a74852d6b09,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-004; IR-RAW-009,
IR-RAW-012,Communication,INDEX.md,IR-RAW-012_evidence_index.md,9f7f99fd5361c868a5e805bb297d5d8e6f6090a6439219620baac8ef24edc38d,Exact SHA-256,Partially Verified,True,2026-06-21,Discord raw evidence package submitted by community investigator,"Resolution, Payout, Dispute",Attorney review,IR-RAW-001; IR-RAW-002; IR-RAW-003; IR-RAW-004; IR-RAW-005; IR-RAW-006; IR-RAW-007; IR-RAW-008; IR-RAW-009; IR-RAW-010; IR-RAW-011,
ARB-001,Resolution,ARB_exhibits folder; resolution_tx_0x4594120f7b93d7eadd56e53594f208a3fe3e7b83f715871e59742eac796e017e.json; arb_400k_buy_yes_trade_tx_0x26e1b61200dacad0e83790468fae4b1fe4de25a7526e410a87298b592e6bcceb.json; arb_known_redeem_tx_from_prior_activity_0x4c315e0cd4d9c1e42a90801fa9bf4248a69314cb93aec880d96e5f3110d80eb0.json; safe_transaction_service_details.json; safe_transaction_service_confirmations.json; 02_arb_incoming_transfers_after_resolution.csv; 03_candidate_payout_tx_hashes.csv; 99_file_hashes.csv; screenshots and notes inside ARB_exhibits,ARB_exhibits; 01_exact_resolution; 02_safe_authorization; 03_yes_position; 04_redemptions_and_payouts; 05_uma_related_markets; 07_hashes; 08_firm_summary,See 07_hashes/ARB_lawyer_packet_hashes.csv,External hash manifest reference,Verified,True,2026-06-21,Polygon blockchain records; Safe Transaction Service; Polymarket activity exports; community-submitted raw investigative package; internal verification files,"Resolution, Payout, Dispute",Claimant-Private,IR-RAW-004; IR-RAW-011; ARB-PRIMARY-001; ARB-PRIMARY-002; ARB-PRIMARY-003; ARB-PRIMARY-004; ARB-PRIMARY-005; ARB-PRIMARY-006,
LOSS-001,"Trades, Damages",polymarket_no_holder_losses_by_date.csv,LOSS-001_no_holder_losses_by_date.csv,ab80777b9148c656bc2d66360b8d24c0a6cdc337f8dc2720735d117c66e26cee,Exact SHA-256,Derived analysis,True,2026-06-21,Derived Polymarket holder loss analysis from Polymarket market holder data,"Damages, Loss Quantification, Resolution, Payout, Dispute",Attorney review,TRADE-001; TRADE-002; RED-003; ARB-001,
LOSS-002,"Trades, Damages",polymarket_no_holder_losses_wallet_details.csv,LOSS-002_no_holder_losses_wallet_details.csv,9fa3f8971dcd21fa6bd7359f638be4f5a55b77fae57bd9ed4bd6641750ec3712,Exact SHA-256,Derived analysis,True,2026-06-21,Derived Polymarket holder loss analysis from Polymarket market holder data,"Damages, Loss Quantification, Resolution, Payout, Dispute",Attorney review,LOSS-001; TRADE-001; TRADE-002; RED-003; ARB-001,
PM-RULE-001,Rules,US x Iran permanent peace deal by..._ Predictions & Odds 2026 _ Polymarket.html,PM-RULE-001_polymarket_target_market_saved_page.html,c251928fc28492b0b885d5620b8f5636071b29ace2a2381c30e1470913d7eff2,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,Polymarket,Target market rules and final resolution,Internal,UMA-003; PM-RULE-002; PM-RES-001,
PM-RULE-002,Rules,Polymarket - Market Page - 2.png,PM-RULE-002_polymarket_target_market_rules_final_yes_desktop.png,c54f63df20fbfc594d7ed010d247168cab1126b37017ed17d56f237fa1f6858f,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,Polymarket,Target market rules and final YES resolution,Restricted,PM-RULE-001; PM-RES-001,
PM-MKT-001,Market metadata,Polymarket - Market Page.png,PM-MKT-001_polymarket_related_market_dates_desktop.png,f4ea1981420328e43caba66d13e50c76f404b0c5fb1d3eddd53c9a4b74ee0e58,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,Polymarket,Related market context,Restricted,PM-RULE-001; STEP7-CROSS-001,
PM-RES-001,Resolution,5B6D9D77-EB60-49D4-8EA5-22919F93ED50.jpg,PM-RES-001_polymarket_mobile_resolution_timeline_final_yes.jpg,67a86747c488bc2ac6a6a6239fd0363f1c38b265b2f4068994f7a20b578f9e79,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,Polymarket,"Outcome proposed YES, disputes, final YES outcome",Internal,PM-RULE-001; UMA-UI-001,
PM-RULE-003,Rules,CCC8DD22-5F32-430B-AACB-D6389DE944BA.png,PM-RULE-003_polymarket_related_market_rules_mobile_dec31.png,688307833db5ef52f2a3c52f31c8d537e15de373b9721a0666321896b0b5a506,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,Polymarket,Related market rules,Internal,PM-MKT-001; STEP7-CROSS-001,
UMA-UI-001,Blockchain,UMA - Market Results.png,UMA-UI-001_uma_market_results_vote_3622.png,db2a946f8b663b0f0a56a4825db7814d402271f68f3f0002e30e8e9f1d983b24,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA,UMA vote result and vote concentration,Public,UMA-VAL-001; UMA-WHALE-001,
UMA-UI-002,Blockchain,UMA - Market Rules.png,UMA-UI-002_uma_market_rules_vote_3622.png,2919c9b98d311f321c05c21b807cb9d23e24b38a6d8841f93f1277e054a09fea,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA,UMA market identity and ancillary data,Public,UMA-003; PM-RULE-001; UMA-VAL-001,
UMA-WHALE-001,Blockchain,Top_60_Whales.csv,UMA-WHALE-001_top_60_uma_whales_round10310.csv,c8ff8261debeb40b5b46be229325c9771b86045d7013168b0fd8d9c6f800d789,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA on-chain analysis,UMA vote concentration,Internal,UMA-VAL-001; UMA-UI-001,
UMA-VAL-001,Blockchain,uma_vote_validation.csv,UMA-VAL-001_round10310_uma_vote_validation.csv,909db6ac1df31aeb4d33e58c7afadf11eb6a5d133e8a667e315cb2a9ba3028cc,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA on-chain analysis,UMA vote validation,Internal,UMA-WHALE-001; UMA-UI-001; UMA-003,
UMA-001,Blockchain,UMA-001_UMA_Iran_VoteRecord_FULL_original.xlsx.xlsx,UMA-001_uma_iran_vote_record_full_original.xlsx,5b002cae59563feecd7bf2ef95092a822b39384d0c0afe6afb730a3528610c1b,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA on-chain analysis,UMA vote analysis,Internal,UMA-VAL-001; UMA-WHALE-001,
UMA-003,Blockchain,UMA-003_round10310_ancillary_hash_discovery.csv,UMA-003_round10310_ancillary_hash_discovery.csv,204dc8ad1f7c66093f2f4be84e283bbadd6014bb2db33c2ffad13e6bd1b1eeb5,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA on-chain analysis,Market-to-UMA linkage,Internal,UMA-UI-002; PM-RULE-001,
UMA-004,Blockchain,round10310_request_inspection.csv,UMA-004_round10310_request_inspection.csv,7fd354c5e82fbc2e2a6da7dfafe79a2d4ac6aa6774b2a9dcb7f28310745a0908,Exact SHA-256,"Preserved file, hash calculated",True,2026-06-21,UMA on-chain analysis,UMA request inspection,Internal,UMA-003; UMA-VAL-001,
RULE-NO-001,Rules,On Site / Online . Not yet downloaded,RULE-NO-001_reuters_2026-06-15_blockade_pending_completion.pdf,eb31a5ff0f02d828cf87c18796ca277b4d27d8bff46e7e8e6def977d09030955,Exact SHA-256,Pending download and hash,False,2026-06-21,Reuters,June 15 cutoff evidence,Public,PM-RULE-001; RULE-NO-002,
RULE-NO-002,Rules,On Site / Online . Not yet downloaded,RULE-NO-002_csis_2026-06-15_framework_60_day_ceasefire.pdf,3c5da3eb465ad675f6195f7788937183b41e6739f09d853138ee74ffc33c6d0e,Exact SHA-256,Pending download and hash,False,2026-06-21,CSIS,June 15 cutoff evidence,Public,RULE-NO-001; PM-RULE-001,
RULE-NO-003,Rules,On Site / Online . Not yet downloaded,RULE-NO-003_whitehouse_2026-06-17_trump_signs_mou_versailles.pdf,a4d294248c07b9e1e139b986ba9db7db94dc36bc052b2ab360729c1d4a9d4af8,Exact SHA-256,Pending download and hash,False,2026-06-21,White House,Official signing after market deadline,Public,RULE-NO-004; PM-RULE-001,
RULE-NO-004,Rules,On Site / Online . Not yet downloaded,RULE-NO-004_reuters_2026-06-17_trump_signs_mou.pdf,411d39889681372e7bb15df08e496cd0ecaa93dabf34ad4e3b8e774799387a4d,Exact SHA-256,Pending download and hash,False,2026-06-21,Reuters,Signing after market deadline,Public,RULE-NO-003; PM-RULE-001,
RULE-NO-005,Rules,On Site / Online . Not yet downloaded,RULE-NO-005_aljazeera_2026-06-14_mou_not_signed_sunday_60_day_ceasefire.pdf,af870a9022feddc44d32a66801b84846e82cc2ce1c0109b8a30170b98d52dd3e,Exact SHA-256,Pending download and hash,False,2026-06-21,Al Jazeera,Pre-deadline status and signing uncertainty,Public,RULE-NO-001; RULE-NO-002,
RULE-NO-006,Rules,On Site / Online . Not yet downloaded,RULE-NO-006_aljazeera_2026-06-17_unreleased_14_point_mou.pdf,45132269c8bdef40750548ca13222a86e79ed64f29183023046558491a53a8e6,Exact SHA-256,Pending download and hash,False,2026-06-21,Al Jazeera,Post-deadline uncertainty and MOU status,Public,RULE-NO-005; RULE-NO-007,
RULE-NO-007,Rules,On Site / Online . Not yet downloaded,RULE-NO-007_tasnim_2026-06-17_bloomberg_mou_text_inaccurate.pdf,ab50ba69ad9d3289ad1b6c6316ff16aa230da5bb14424507cc280698c93adda0,Exact SHA-256,Pending download and hash,False,2026-06-21,Tasnim News Agency,Post-deadline disputed text and Iranian-side uncertainty,Public,RULE-NO-006; PM-RULE-001,
RULE-NO-008,Rules,On Site / Online . Not yet downloaded,RULE-NO-008_lemonde_2026-06-15_framework_signed_june19_60_day_negotiations.pdf,43d63b4c6488bccdd6064b19eda483e8a2e12e41889426c51320d87746a47939,Exact SHA-256,Pending download and hash,False,2026-06-21,Le Monde,June 15 cutoff evidence,Public,RULE-NO-001; RULE-NO-002,
RULE-NO-009,Rules,On Site / Online . Not yet downloaded,RULE-NO-009_reuters_2026-06-14_framework_interim_agreement_reactions.pdf,cad5ab04ba2d23d102c95abdf224a720fd00b7b6aa3edb69e5a68be79bfc8076,Exact SHA-256,Pending download and hash,False,2026-06-21,Reuters,June 15 cutoff evidence,Public,RULE-NO-001; RULE-NO-002,
